微博内容,发布者名称,发布时间以及设备,发布者主页
#卫龙辣条包装被指打低俗擦边球#啊这你非要往那想我只知道要吃啥口味​,锨bao,26秒前 来自iPhone客户端,https://weibo.com/2953485914?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#草木皆兵。。。尴尬症犯了​,K俊凯今天来鸟巢了吗,30秒前 来自小凯哥哥的Android,https://weibo.com/7242538910?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#经学家看见《易》，道学家看见淫，才子看见缠绵，革命家看见排满，流言家看见宫闱秘事。——鲁迅​,用户7337457780,29秒前 来自iPhone客户端,https://weibo.com/7337457780?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#看到这个词条我真的会笑，这包装都好几年了，现在搁这说啥呢，肮脏的人看什么都是肮脏的​,薛妲己的纣王,30秒前 来自joker🐷HarmonyOS设备,https://weibo.com/5897859293?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#虽然不着边，怎么有股政治正确的味道呢​,现充宅郭,30秒前 来自nova8Pro我由我掌镜,https://weibo.com/5724766977?refer_flag=1001030103_
#卫龙回应包装争议广告语#咱就是说现在刚发现虽然我经常买​,育狼成长手册,34秒前 来自OPPOReno6Pro5G,https://weibo.com/7400085386?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#行了吧，什么叫擦边球，就是这种它内心有想法让你往这方面想，但你要真这么想他就会说你玩不起的。你说你随便用一个，谁会往那方面想？好家伙三个词摆一起，都会有往那方面想的想法吧。我跟你说“强硬贼大约吗三个词打一个东西”，你答辣条，那就算我思路低俗好吧​展开c,减号的垃圾桶,34秒前 来自iPhone客户端,https://weibo.com/7501301110?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你要是不说，我还真想不到那方面​,芋圆農汤,34秒前,https://weibo.com/5719722756?refer_flag=1001030103_
emmm真的很无语啊卫龙这个辣条都已经出了这么久了怎么还有人玩这么low的梗啊,肉里肉肉肉,35秒前 来自iQOOU1性能小金刚,https://weibo.com/7312811074?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你把椰汁放在哪了！​,附和日落,37秒前 来自甜橙舒芙蕾Android,https://weibo.com/6569562853?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#自己想的不干净，看啥都觉得不干净2南充​,思驹o,42秒前 来自荣耀X105G,https://weibo.com/5652121182?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#大小就爱吃辣条，还从来没注意过包装是我太大意，还是有人太较真？L难舍深蓝的微博视频​,难舍深蓝,43秒前 来自微博视频号,https://weibo.com/6016020391?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#……除了那个强硬属实是有点奇怪之外其他的都还好啊​,_林文良哥哥,45秒前 来自iPhone客户端,https://weibo.com/3938648404?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#啊这……我特爱吃，但是我从来都没那么想过，难道说以后卫龙新版应该就没有这样的了？无语=_=​,龙猫LOVE橡果子无敌,46秒前 来自nova7SE5G你在焦点在,https://weibo.com/6305495689?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#吃个辣条都不纯粹了，笑死我了。手里的黄瓜突然不香了。​,小凡-1016,48秒前 来自HUAWEIMate40Pro,https://weibo.com/2654543790?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#思想龌龊的人看什么都龌龊。​,赴轩约,49秒前 来自宋亚轩的小海螺,https://weibo.com/7442618422?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我刚刚还刷到了就无语​,玺玺太闹腾,50秒前 来自千玺的千纸鹤,https://weibo.com/7263433150?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#这包装不是挺久的了吗……思想不干净的人果然看啥都不干净……​,我是坐摩天轮来的w,49秒前 来自王俊凯恭喜发财,https://weibo.com/6212050509?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#好，以后不能说火锅约吗，不能说衣服贼大，都是低俗啦低俗、​,在战哥的腹毛里钻来钻去,50秒前 来自iPad客户端,https://weibo.com/7217882260?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#大输杯😅​,当个小西,50秒前 来自iPhone客户端,https://weibo.com/5485937525?refer_flag=1001030103_
吃卫龙和不吃卫龙的都沉默了,听花开的声音109,51秒前 来自OPPOR15梦镜版,https://weibo.com/5532643549?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#现在这是要开始逐个品牌大排查了啊流量密码有了​,淡水河边的Mens_talk之养乐多,53秒前 来自赞多的Claus,https://weibo.com/1850690507?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我只在乎好不好吃​,睡不醒好烦啊,53秒前,https://weibo.com/7684834954?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#更爱了​,别怕我不是什么好人我是好菜,55秒前 来自iPhone客户端,https://weibo.com/6063593801?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#天天就关注这些是吧？​,改个名字真de难a,55秒前 来自OnePlus8T,https://weibo.com/6051873516?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#那我以后还吃得到卫龙辣条不🥺,半夏至君当归,56秒前,https://weibo.com/7428666544?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#漏为啥会联想到擦边球​,磕糖当中,56秒前 来自vivoY30活力版,https://weibo.com/6459922739?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我吃了快好几十袋了，都没想到那去，真的没事吧不过我真心推荐大辣棒，我太喜欢吃了​,倪小妮是RAPSTAR,58秒前,https://weibo.com/5100485737?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#从来没注意过但这么一说确实有点儿……​,爱吃辣条不是辣妹,58秒前 来自iPhone客户端,https://weibo.com/7203829759?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#事多晚上刚买的​,樱桃的蓝,58秒前 来自iPadmini,https://weibo.com/5848874925?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#呃呃买辣条谁看这个约吗不是让我约辣条吗大辣棒不就是大的吗小辣棒吃起来不就是硬的吗我一直这么理解​,anndui_,1分钟前 来自金智秀买的Android,https://weibo.com/7204347900?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#知道这位网友满脑子黄色废料了就不用发出来和大家分享了谢谢​,松鼠壁纸,1分钟前 来自iPhone客户端,https://weibo.com/6457140764?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#……除了那个强硬属实是有点奇怪之外其他的都还好啊​,手捧槲珠换酒钱,1分钟前 来自iPhone客户端,https://weibo.com/2782653585?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#？？？心里肮脏的人看什么都是脏的别来碰瓷我最爱的辣条​,手真好看,1分钟前 来自Android,https://weibo.com/7319889074?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#xsl这有啥问题啊，真是想一出是一出​,肆次暗恋,1分钟前 来自黄明昊的NANA,https://weibo.com/6909848620?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#。。正常人吃个辣条能联想到这些？​,97定律,1分钟前,https://weibo.com/7281007734?refer_flag=1001030103_
我吃了这么多年卫龙辣条，都没觉得这个文字有问题，只觉得说的是这个辣条。爱挑事找别地儿去，别耽误我吃辣条好吗？#卫龙辣条包装被指打低俗擦边球#,我是美食攻略菌,1分钟前 来自微博weibo.com,https://weibo.com/2452795743?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#自己非要往那方面想...怪谁​,MWZFLSX,1分钟前 来自0514💞Android,https://weibo.com/6571384505?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#比起外包装，辣条能有卫龙的卫生更重要吧​,帅哥美食都是我的,1分钟前 来自HUAWEIP30Pro,https://weibo.com/5453699851?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#为什么我记得是装🅱️吃惊冷静2上海​,拖拉不啦叽,1分钟前 来自戳了dew的iPhone12Pro,https://weibo.com/7032392812?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#吃那么多辣条根本没关注上面啥字，最多看到卫龙两个字​,西瓜吃多了会腻,1分钟前 来自nova7你在焦点在,https://weibo.com/5658510919?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#心里脏的人，看啥都脏😅​,蛋挞没蛋_,1分钟前 来自鼠标土豆的iPhone客户端,https://weibo.com/7451666848?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你不说我还真没往那方面想过，所以你为什么会把吃的往那方面想​,吾仁馅的玥饼,1分钟前 来自iPhone,https://weibo.com/5520443573?refer_flag=1001030103_
#卫龙回应包装争议广告语#完全是过度诠释。想起某年的高烤，一定让年轻的孩纸们，解释“鱼的眼睛发出诡异的光”是森么意涵。那些又是指责又是举报“一包辣条”的，大概天天想象记几即将被害，于是说不定某个语词，就戳到他们脆弱的神经，于是“破防”。​,看不见的钢笔,1分钟前,https://weibo.com/5087949194?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#什么玩意，龌蹉的人，看什么都龌蹉。​,漫淼_,1分钟前 来自iPhone12,https://weibo.com/7702787355?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你没事吧？无语到家​,mamba_is_out,1分钟前 来自HUAWEInova3,https://weibo.com/5259359201?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#？脑子一天天都在想些什么安我卫龙忠实粉就一个辣条你这么计较包装袋干什么啊这不纯纯脑子有坑吗​,月亮还没困,1分钟前 来自耶比Android,https://weibo.com/6799011869?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#。。。。大辣棒有三种包装袋，贼大、贼辣、贼棒，非要单提一个出来说擦边吗？上个月朋友转了一条某瓣的帖子说大辣棒的包装（贼大）打擦边球真恶心，我告诉他其实是贼大贼辣贼棒三种，他说，“它最好是”……😅那我还能说啥？​,维厄勒yu,1分钟前 来自微博国际版,https://weibo.com/5764997873?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我初中的时候跟我妈说想吃三只松鼠的素肉，我妈不知道那是辣条，一下买了十来盒。我自己吃不完带去学校分，就有男生跟我说这个包装挺emmmm的，我当时还是太单纯了，都没听懂​,伤害反弹2000years,1分钟前 来自微博国际版,https://weibo.com/7583723952?refer_flag=1001030103_
微博内容,发布者名称,发布时间以及设备,发布者主页
